Index,Title,Album,Date,Year,Lyrics,Love,Alcohol,Lonely,Smoke,Dream,Lie,Life,Death,Sick,City,Home,Time,Lost,Money,Nothing,Dance,Memory,Water,Friend,Pain,Wait,Link
31,Rose Parade,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
You asked me to come down and watch the parade
To march down the street like the Duracell bunny
With a wink and a wave from the cavalcade
Throwing out candy that looks like money
To people passing by that all seem to be going the other way

[Chorus]
Said, ""Won't you follow me down to the Rose Parade?""

[Verse 2]
Tripped over a dog in a choke-chain collar
People were shouting and pushing and saying
And I traded a smoke for a food stamp dollar
Ridiculous marching band started playing
Got me singing along with some half-hearted victory song

[Chorus]
Won't you follow me down to the Rose Parade?
Won't you follow me down to the Rose Parade?
Won't you follow me down to the Rose Parade?

[Verse 3]
The trumpeter's obviously been drinking
'Cause he's fucking up even the simplest lines
You say it's a sight that's quite worth seeing
It's just that everyone's interest is stronger than mine
When they clean the street, I'll be the only shit that's left behind",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-rose-parade-lyrics
32,Punch and Judy,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
A wallflower Punch talks to Judy
In a crowded corner where anybody can listen in
But they don't read page to page or speak easy
Now, they're gonna go say the words in the wrong order again

[Verse 2]
They walk in a circle through all the sidewalk scenes
They used to be a part of one time
Now, everybody just stares and whispers
Driving around up and down Division Street
I used to like it here
It just bums me out to remember

[Chorus]
Can't you ever treat anyone nice?
Think I'm gonna make the same mistake twice

[Verse 3]
They draw the curtain
Wait for a call
Pretty lucky if they get any kind of response at all

[Chorus]
Can't you ever treat anyone nice?
Think I'm gonna make the same mistake twice
Gonna make the same mistake twice",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,https://genius.com/Elliott-smith-punch-and-judy-lyrics
33,Cupid's Trick,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
She's shaking down
I'm absent and numb from shock
Reaching around for the hands of the clock
Sugarlight

[Chorus]
Lip me up, it's my lie
Sugar, lip me up, it's my lie
Sugar, lip me up, it's my lie
Sugar, lip me up

[Verse 2]
Cupid's trick comes down to shake and deal
The stupid kick that makes me reel
Sugarlight

[Chorus]
Lip me up, it's my lie
Sugar, lip me up, it's my lie
Sugar, lip me up, it's my lie
Sugar, lip me up

[Verse 3]
She's shaking down
It's never over and done
So kick me, cave me in
I'm no one",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-cupids-trick-lyrics
34,2:45 AM,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
I'm going out sleepwalking
Where mute memories start talking
The boss that couldn't help but hurt you
And the pretty thing you made desert you
I'm going out like a baby
A naive, unsatisfiable baby
Grabbing onto whatever's around
For the soaring high or the crushing down

[Chorus]
With hidden cracks that don't show
But that constantly just grow

[Verse 2]
I'm looking for the man that attacked me
While everybody was laughing at me
You beat it in me, that part of you
But I'm gonna split us back in two

[Chorus]
Tired of living in a cloud
If you're gonna say shit now, you'll do it out loud

[Verse 3]
It's 2:45 in the morning
And I'm putting myself on warning
For waking up in an unknown place
With a recollection you've half erased",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://genius.com/Elliott-smith-2-45-am-lyrics
35,Say Yes,Either/Or: Expanded Edition,"Feb. 25, 1997",1997,"[Verse 1]
I'm in love with the world
Through the eyes of a girl
Who's still around the morning after
We broke up a month ago
And I grew up, I didn't know
I'd be around the morning after

[Verse 2]
It's always been wait and see
A happy day and then you pay
And feel like shit the morning after
But now I feel changed around
And instead of falling down
I'm standing up the morning after

[Bridge]
Situations get fucked up
And turned around sooner or later
And I could be another fool
Or an exception to the rule
You tell me the morning after

[Chorus]
Crooked spin can't come to rest
I'm damaged bad at best
She'll decide what she wants
I'll probably be the last to know
No one says until it shows, see how it is
They want you or they don't
Say yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,https://genius.com/Elliott-smith-say-yes-lyrics
36,Division Day,Grand Mal: Studio Rarities,"Nov. 22, 2000",2000,"There was grown man dying from fright
So surprised by the things he'd say
With a giant fantasy life
Running 'round on feet of clay
Naked except for a perpetual debt
That couldn't be stripped away
An unrightable wrong that moved him
Along closer to division day

Spent a long time living with that
Never could give it a name
And when you don't know what you're
Looking at it makes it much harder to take

Mostly they'd meet when he was
Asleep and have some sick exchange
That struck him as wrong and moved him
Along closer to division day

I can't make an exception for a bad connection
That only goes one way
Sell out for a song where I don't belong
With you on division day

The moon stood up on the ridge
Looking down where the water shines
And a man looking over the bridge
Like he done so many times",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,https://genius.com/Elliott-smith-division-day-lyrics
37,Sweet Adeline,XO,"Aug. 25, 1998",1998,"[Verse 1]
Cut this picture into you and me
Burn it backwards, kill this history
Make it over, make it stay away
Or hate'll sing the ending that love started to say

[Verse 2]
There's a kid a floor below me saying, ""Brother, can you spare sunshine for a brother, Old Man Winter's in the air.""
Walked me up a story, asking how you are
Told me not to worry, you were just a shooting star

[Chorus]
Sweet Adeline
Sweet Adeline
My Clementine
Sweet Adeline

[Verse 3]
It's a picture-perfect evening and I'm staring down the sun
Fully loaded, deaf and dumb and done
Waiting for sedation to disconnect my head
Or any situation where I'm better off than dead",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-sweet-adeline-lyrics
38,Tomorrow Tomorrow,XO,"Aug. 25, 1998",1998,"[Verse 1]
Everybody knows which way you go, straight to over
No one wants to see you inside of me, straight to over
I heard the hammer at the lock
Say you're deaf and dumb and done
Give yourself another talk
This time make it sound like someone

[Chorus]
The noise is coming out, and if it's not out now
Then tomorrow, tomorrow
They took your life apart and called your failures art
They were wrong though, they won't know, 'til tomorrow

[Verse 2]
I got static in my head
The reflected sound of everything
Tried to go to where it led
But it didn't lead to anything
The noise is coming out, and if it's not out now
I know it's just about to drown tomorrow out",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-tomorrow-tomorrow-lyrics
39,Waltz #2 (XO),XO,"Sep. 21, 1998",1998,"[Verse 1]
First the mic, then a half cigarette
Singing ""Cathy's Clown""
That's the man she's married to now
That's the girl that he takes around town
She appears composed, so she is, I suppose
Who can really tell?
She shows no emotion at all
Stares into space like a dead china doll

[Chorus]
I'm never gonna know you now
But I'm gonna love you anyhow

[Verse 2]
Now she's done and they're calling someone
Such a familiar name
I'm so glad that my memory's remote
'Cause I'm doing just fine hour to hour, note to note
Here it is, the revenge to the tune
""You're no good
You're no good, you're no good, you're no good""
Can't you tell that it's well understood?

[Chorus]
I'm never gonna know you now
But I'm gonna love you anyhow",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,https://genius.com/Elliott-smith-waltz-2-xo-lyrics
40,Baby Britain,XO,"Apr. 19, 1999",1999,"[Verse 1]
Baby Britain feels the best
Floating over a sea of vodka
Separated from the rest
Fights problems with bigger problems
Sees the ocean fall and rise
Counts the waves that somehow didn't hit her
Water pouring from her eyes
Alcoholic and very bitter

[Chorus]
For someone half as smart
You'd be a work of art
You put yourself apart
And I can't help until you start

[Verse 2]
We knocked another couple back
The dead soldiers lined up on the table
Still prepared for an attack
They didn't know they'd been disabled
Felt a wave, a rush of blood
You won't be happy 'til the bottle's broken
You're out swimming in the flood
You kept back, you kept unspoken",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,https://genius.com/Elliott-smith-baby-britain-lyrics
41,Pitseleh,XO,"Aug. 25, 1998",1998,"[Verse 1]
I'll tell you why I don't want to know where you are
I got a joke I've been dying to tell you
A silent kid is looking down the barrel
To make the noise that I kept so quiet
Kept it from you, Pitseleh

[Verse 2]
I'm not what's missing from your life now
I could never be the puzzle pieces
They say that God makes problems just to see what you can stand
Before you do as the Devil pleases
Give up the thing you love
But no one deserves it

[Verse 3]
The first time I saw you
I knew it would never last
I'm not half what I wish I was
I'm so angry
I don't think it'll ever pass
And I was bad news for you just because
I never meant to hurt you",1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,https://genius.com/Elliott-smith-pitseleh-lyrics
42,Independence Day,XO,"Aug. 25, 1998",1998,"[Verse 1]
Future butterfly
Gonna spend the day higher than high
You'll be beautiful confusion
Ooh, once I was you

[Verse 2]
I saw you caught between
All the people out making a scene
And the bright ideal tomorrow
Ooh, don't go too far, stay who you are

[Chorus]
Everybody knows
Everybody knows
Everybody knows
You only live a day
But it's brilliant anyway

[Verse 3]
I saw you at the perfect place
It's going to happen soon, but not today
So go to sleep, make the change
I'll meet you here tomorrow
Independence Day
Independence Day
Independence Day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-independence-day-lyrics
43,Bled White,XO,"Aug. 25, 1998",1998,"[Verse 1]
I'm a color reporter
(Rose City on the 409)
But the city's been bled white
(White city on the yellow line)
And the doctor orders
(Drinking to distraction's just a waste of time)
Drinks all night to take away this curse
But it makes me feel much worse
Bled white

[Verse 2]
So I wait for the F-Train
(White city on the yellow line)
And connect through a friend of mine
(White city to a friend of mine)
To a yesterday dream
(Yesterday's dream was just a waste of time)
‘Cause I'll have to be high to drag the sunset down
And paint this paling town
Bled white

[Bridge]
So here he comes with a blank expression
Especially for me, 'cause he knows I feel the same
Because happy and sad come in quick succession
I'm never going to become what you became",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,https://genius.com/Elliott-smith-bled-white-lyrics
44,Waltz #1,XO,"Aug. 25, 1998",1998,"[Verse]
Every time the day darkens down and goes away
Pictures open in my head of me and you
Silent and cliché
All the things we did and didn't say
Covered up by what we did and didn't do
Going through every out I used to cop
To make the repetition stop
What was I supposed to say?

[Instrumental Break]

[Outro]
Now I never leave my zone
We'e both alone, I'm going home
I wish I'd never seen your fa-a-ace",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-waltz-1-lyrics
45,Amity,XO,"Aug. 25, 1998",1998,"[Verse 1]
Amity, Amity, Amity, Amity
Amity, Amity, Amity
Caught stars in her arms
Hello, hello kitty happy in New York City
Amity walking like a lucky charm
I'm a neon sign and I stay open all the time
So let's go
Go, go, go

[Verse 2]
Amity, Amity, God don't make no junk
But it's plain to see that he still made me
He told me so
I'm good to go
I'm ready to go

[Verse 3]
‘Cause you laugh and talk
And ‘cause you make my world rock
I'm so
So, so, so
Amity, Amity, Amity, Amity
Amity, Amity, Amity
Good to go",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-amity-lyrics
46,"Oh Well, Okay",XO,"Aug. 25, 1998",1998,"[Verse 1]
Here's the silhouette, the face, always turned away
The bleeding color gone to black, dying like a day
Couldn't figure out what made you so unhappy
Shook your head to say, ""No, no, no""
And stopped for a spell, and stayed that way

[Refrain]
Oh well, okay

[Verse 2]
I got pictures, I just don't see it anymore
Climbing hour upon hour through a total bore
With the one I keep, where it never fades
In the safety of a pitch-black mind
An airless cell that blocks the day

[Refrain]
Oh well, okay

[Verse 3]
If you get a feeling next time you see me
Do me a favor and let me know
Cause it's hard to tell, it's hard to say 'oh well, Ok'

[Refrain]
Oh well, okay
Oh well, okay
Oh well, okay",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-oh-well-okay-lyrics
47,Bottle Up and Explode!,XO,"Aug. 25, 1998",1998,"[Verse 1]
Bottle up and explode over and over
Keep the troublemaker below
Put it away and check out for the day
In for a round of overexposure
The thing mother nature provides
To get up and go
Bottle up and explode, seeing stars surrounding you
Red white and blue

[Verse 2]
You look at him like you've never known him
But I know for a fact that you have
The last time you cried
Who'd you think was inside?
Thinking that you were about to come over
But I'm tired now of waiting for you
You never show
Bottle up and go, if you're gonna hide, it's up to you
I'm coming through

[Outro]
Bottle up and go
I can make it outside
I'll get through
Becoming you
Becoming you
Becoming you",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-bottle-up-and-explode-lyrics
48,A Question Mark,XO,"Aug. 25, 1998",1998,"[Verse 1]
I got a question mark
You got a need to always take some shot in the dark
I don't have to make pretend, the picture I'm in is totally clear
You think that all things have a way they ought to appear

[Chorus]
'Cause you know, you know, you know, you know
You know, you know, you know, you know
You know, I don't
I dream
Don't know what you mean

[Verse 2]
Panic called you out and took you in
Giving you an easy game and letting you win
Giving back a little hatred now to the world
'Cause it treated you bad
'Cause you couldn't keep the great unknown from making you mad

[Chorus]
'Cause you know, you know, you know, you know
You know, you know, you know, you know
You know, I don't
I dream
Don't know what you mean",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-a-question-mark-lyrics
49,"Everybody Cares, Everybody Understands",XO,"Aug. 25, 1998",1998,"[Verse 1]
Everybody cares, everybody understands
Yes everybody cares about you
Yeah, and whether or not you want them to
It's a chemical embrace that kicks you in the head
To a pure synthetic sympathy that infuriates you totally
And a quiet lie that makes you want to scream and shout

[Chorus]
So here I lay dreaming, looking at the brilliant sun
Raining its guiding light upon everyone

[Verse 2]
For a moment's rest you can lean against the banister
After running upstairs again and again
From wherever they came to fix you in, but
Always fear city's finest follow right behind
You've got a pretty vision in your head
A pencil full of poison lead
And a sickened smile illegal in every town

[Chorus]
So here I lay dreaming, looking at the brilliant sun
Raining its guiding light upon everyone
Here I lay dreaming, looking at the brilliant sun
Raining its guiding light upon everyone",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-everybody-cares-everybody-understands-lyrics
50,I Didn't Understand,XO,"Aug. 25, 1998",1998,"Thought you'd be looking for the next in line to love
Then ignore, put out, and put away
And so you'd soon be leaving me
Alone, like I'm supposed to be
Tonight, tomorrow, and everyday

There's nothing here that you'll miss
I can guarantee you this:
Is a cloud of smoke
Trying to occupy space
What a fucking joke
What a fucking joke

I waited for a bus to separate the both of us
And take me off, far away from you
Cause my feelings never change a bit
I always feel like shit
I don't know why, I guess that I just do

You once talked to me about love
And you painted pictures of
A Never Never Land
And I could've gone to that place
But I didn't understand

I didn't understand
I didn't understand",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,https://genius.com/Elliott-smith-i-didnt-understand-lyrics
51,Our Thing,Grand Mal: Studio Rarities,"Sep. 21, 1998",1998,This song is an instrumental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-our-thing-lyrics
52,How to Take a Fall,Grand Mal: Studio Rarities,"Sep. 21, 1998",1998,"[Verse 1]
It's one word cover to cover
It's an endless fuse
Chain repeater never seems to get any smarter
I'm always marking pages so
That I don't get confused
End up in a fight I never had any part of

[Chorus]
Listen naive plaything
Coming over clueless every time you call
An accident just waiting to happen
Still hasn't found out
How to take a fall

[Verse 2]
Make me a present, make it something sweet
Small enough to go unnoticed and big enough to compete
With this massive past that keeps blocking up my street
Looking for a new contender to disassemble

[Chorus]
Listen naive plaything
Coming over clueless every time you call
An accident just waiting to happen
Still hasn't found out
How to take a fall",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-how-to-take-a-fall-lyrics
53,The Enemy Is You,Grand Mal: Studio Rarities,"Apr. 19, 1999",1999,"You got your head turned 'round
Walking upside down
Through the sunken dream
Through the crushing crowd
You don't know what it means
'Cause you're a broken machine
You only spit out

You're dressing up your man
But it's all second hand
It's all hindsight
You don't understand
It's just an empty scene
Still an empty scheme
You wanna block it out

Well I know what I'm going to do
With this big doubt
I'm going to make it
Go away

When you go walking out
In the Rose City
Without a fucking clue
With an attitude
Knowing what you need
What you will not do
The enemy is you
You beat up on yourself
'Cause there ain't no one else
Feels quite as good
To put straight through hell
You know yourself well
Know what you're about
Just want to block it out",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-the-enemy-is-you-lyrics
54,Miss Misery,New Moon,"Dec. 7, 1997",1997,"I'll fake it through the day
With some help from Johnnie Walker red
Send the poison rain down the drain
To put bad thoughts in my head
With two tickets torn in half
And a lot of nothing to do
Do you miss me, Miss Misery
Like you say you do?

A man in the park
Read the lines in my hand
Told me I'm strong and hardly ever wrong
I said, ""Man, you mean you""

I had plans for both of us
That involved a trip out of town
To a place I seen in a magazine
That you'd left lying around
I don't have you with me
But I keep a good attitude
Do you miss me, Miss Misery
Like you say you do?

I know you'd rather see me gone
Than to see me the way that I am
But I am in the life anyway",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-miss-misery-lyrics
66,Happiness / The Gondola Man,Figure 8 (Deluxe Edition),"Feb. 8, 2000",2000,"[Verse 1]
Activity's killing the actor
And a cop's standing out in the road
Turning traffic away
There was nothing she could do until after
When his body'd been buried below
Way back in the day

[Chorus]
Oh my, nothing else could have been done
Made his life a lie so
He might never have to know anyone
Made his life the lie you know

[Verse 2]
I told him that he shouldn't upset her (ooh)
And that he'd only be making it worse involving somebody else (ooh)
But I knew that he'd never forget her (ooh)
While her memory worked in reverse to keep her safe from herself (ooh)

[Chorus]
And oh my, nothing else could have been done
She made her life a lie so (ooh)
She might never have to know anyone
Made her life a lie you know",0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,https://genius.com/Elliott-smith-happiness-the-gondola-man-lyrics
55,Son of Sam,Figure 8 (Deluxe Edition),"Apr. 11, 2000",2000,"[Verse 1]
Something's happening
Don't speak too soon
I told the boss off and made my move
Got nowhere to go

[Chorus 1]
Son of Sam
Son of the shining path, the clouded mind
The couple killer, each and every time

[Verse 2]
I'm not uncomfortable, feeling weird
Lonely leered, options disappeared
But I know what to do

[Chorus 2]
Son of Sam, son of a doctor's touch, a nurse's love
Acting under orders from above

[Bridge]
King for a day

[Guitar Solo]

[Chorus 1]
Son of Sam
Son of the shining path, the clouded mind
The couple killer, running out of time",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-son-of-sam-lyrics
72,A Living Will,Figure 8 (Deluxe Edition),"Apr. 11, 2000",2000,"Time to kill, wrote a living will
And gave it to the man in the moon
But I'm gonna get well soon
This happy face is watching me die

Elevate me to another world
All that I can do on my own
Is leave well enough alone
Leave well enough alone
Leave well enough alone

Circumstance dropped by
Uninvited and demand to be fed
But I've already gone to bed
There's nothing you can see from inside
But a spirit arose and put on my clothes
And helped me, disconnecting the phone
To leave well enough alone
Leave well enough alone
Leave well enough alone

Time was I was a wild animal in a cage
First it's all a reaction
Now its all a parade

I'm waking up at a station stop
And reality's invading my brain
The cops wanna search the train
They'll take away whatever they find
But I don't have the thoughts you want
Just a memory of love I was shown
A vision that turns to stone",1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,https://genius.com/Elliott-smith-a-living-will-lyrics
71,Figure 8,Figure 8 (Deluxe Edition),"Apr. 11, 2000",2000,"[Verse 1]
Figure eight is double four
Figure four is half of eight
If you skate you would be great
If you could make a figure eight
That's a circle that turns round upon itself

[Verse 2]
Figure eight is two times four
Four times four is two times eight
If you skate upon thin ice
You'd be wise if you thought twice
Before you made another single move",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-figure-8-lyrics
56,Somebody That I Used to Know,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
I had tender feelings that you made hard
But it's your heart, not mine, that's scarred
So when I go home I'll be happy to go

[Refrain]
You're just somebody that I used to know

[Verse 2]
You don't need my help anymore
It's all now to you, there ain't no before
Now that you're big enough to run your own show

[Refrain]
You're just somebody that I used to know

[Verse 3]
I watched you deal in a dying day
And throw a living past away
So you can be sure that you're in control

[Refrain]
You're just somebody that I used to know

[Instrumental Bridge]",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-somebody-that-i-used-to-know-lyrics
57,Junk Bond Trader,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
The imitation picks you up like a habit
Writing in the glow of the TV's static
Taking out the trash to the man
Give the people something they'd understand
A stick man flashing a fine-lined smile
Junk bond trader trying to sell a sucker a stock
Rich man in a poor man's clothes
The permanent installment of the daily dose

[Verse 2]
And you tell off when you tell it like it is
Your world's no wider than your hatred of his
Checking into a small reality
Boring as a drug you take too regularly
The athlete's laugh, the broken crutch
The first true love that folded at the slightest touch
Brought down like an old hotel
People digging through the rubble for things they can resell

[Bridge]
Happy holidays, sad sick savior
The leaving lover that I still favor
I won't take your medicine
I don't need a remedy
To be everything I'm supposed to be
I don't want nobody else
I can do it by myself
We're meant to be together",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-junk-bond-trader-lyrics
58,Everything Reminds Me of Her,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
I never really had a problem because of leaving
But everything reminds me of her this evening
So if I seem a little out of it, sorry
But why should I lie? Everything reminds me of her

[Verse 2]
The spin of the earth impaled a silhouette
Of the sun on the steeple
And I gotta hear the same sermon
All the time now from you people:

[Verse 3]
'Why are you staring into outer space, crying?
Just because you came across it, and lost it'
Everything reminds me of her
Everything reminds me of her
Everything reminds me of her",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-everything-reminds-me-of-her-lyrics
59,Everything Means Nothing to Me,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
Someone found the future as a statue in a fountain
At attention, looking backward in a pool of water
Wishes with a blue songbird on his shoulder
Who keeps singing over everything

[Refrain]
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me

[Verse 2]
I picked up the song and found my picture in the paper
The reflection in the water showed an iron man still trying to salute
People from a time when he was everything he's supposed to be

[Refrain]
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me
Everything means nothing to me",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,https://genius.com/Elliott-smith-everything-means-nothing-to-me-lyrics
60,L.A.,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
The gentleman's in the lane
Spinning his hat on a cane
Stepping out
Out for change
Good morning all, it's a beautiful day

The generals are winning a war
Seemed suicidal before
You came along, now
Now I'll protect you
Long as you stay

[Chorus]
L.A
Morning had to come
I'd be walking in the sun
Living in the day
But last night I was about to throw it all away

[Verse 2]
If patience started a band
I'd be her biggest fan
Look at me, I'm talking to you
I don't want the lead in your play",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-la-lyrics
61,In the Lost and Found (Honky Bach) / The Roost,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
He held his breath to hold your hand
To walk the stair steps in pairs
Climbing up a slippery slope
I'm in love, love I hope

[Chorus]
Don't go home, Angelina
Stay with me, hanging around in the lost and found

[Verse 2]
He kissed you quick, feeling weird
Lonely leered, and disappeared
This is such a simple place
The passing time can't erase

[Chorus]
Don't go home, Angelina
Paint tomorrow blue

[Bridge]
Day breaks but every morning when he wakes he thinks of you

[Verse 3]
I'm alone, but that's okay
I don't mind most of the time
I don't feel afraid to die
She was here, passing by",1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,https://genius.com/Elliott-smith-in-the-lost-and-found-honky-bach-the-roost-lyrics
62,Stupidity Tries,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
Got a foot in the door
God knows what for
And he'll cut me down to size
Stupidity tries
Everything here is free
Everything but you and me
This painting never dries
Stupidity tries

[Chorus 1]
Savannah shoulder raised a cheer
Coloring the sky with ash
Because they found some privateer
To sail across the sea of trash

[Verse 2]
The enemy is within
Don't confuse me with him
The truth is otherwise
Stupidity tries

[Chorus 2]
And so I go from floor to floor
Looking for a port of call
Another drunk conquistador
Conquering the governor's ball",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://genius.com/Elliott-smith-stupidity-tries-lyrics
63,Easy Way Out,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
You'll take advantage 'til you think you're being used
Cause without an enemy your anger gets confused
And I got stuck on a side you know I never chose
But it's all about taking the easy way out for you, I suppose

[Verse 2]
There's no escape for you, except in someone else
Although you've already disappeared within yourself
The invisible man, who's always changing clothes
It's all about taking the easy way out for you, I suppose

[Bridge]
While I watch you making mistakes
I wish you luck, I really do
With the problem, with the puzzle
Whatever's left of you

[Verse 3]
I heard you found another audience to bore
A creative thinker who imagined you were more
A new body for you to push around and pose
It's all about taking the easy way out for you, I suppose
It's all about taking the easy way out for you, I suppose",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-easy-way-out-lyrics
64,Wouldn't Mama Be Proud,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
The question is wouldn't Mama be proud?
There's a silver lining in the corporate cloud
And the pretty post that you're taking as a, as an NCO
Of the great pretender, I should sure think so

[Refrain]
Wouldn't Mama be proud?

[Verse 2]
""Can I take your order?"" asked the heavenly host
Ticket to the jet stream blowing coast to coast
The long-stem glasses, a movie and a pleasant dream in mid-air
""You gotta tell me quickly 'cause we're almost there""

[Refrain]
Wouldn't Mama be proud?

[Bridge]
Pointed out of the window
At the sky gone black
""Kid, you're on the right track""

[Verse 3]
If I send you postcards from the side of the road
Photographs of moving parts about to implode
If I crawl to keep it together
Like you say you know I can do
To transmit the moment from me to you",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-wouldnt-mama-be-proud-lyrics
65,Color Bars,Figure 8 (Deluxe Edition),"Apr. 18, 2000",2000,"[Verse 1]
I see color bars when I come
Sgt. Rock broke the key off in the lock
To where I come from
Sir, no, sir, we have no power in the air
The battle's on the ground
Laying low again, high on the sound

[Verse 2]
Bruno S. is a man to me
You're just some dude with a stilted attitude
That you learned from TV
You'll undo, but I'll be connecting everything
The traffic in my town
Riding high again, high on the sound

[Outro]
Everyone wants me to ride into the sun
But I ain't gonna go down
Laying low again, high on the sound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-color-bars-lyrics
