Index,Title,Album,Date,Year,Lyrics,Love,Alcohol,Lonely,Smoke,Dream,Lie,Life,Death,Sick,City,Home,Time,Lost,Money,Nothing,Dance,Memory,Water,Friend,Pain,Wait,Link
18,Alphabet Town,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
Alphabet City is haunted
Constantina feels right at home
She probably won't say you're wrong
But you're already wrong
You're already wrong
And you threw up whatever she shot down

[Chorus]
Said, ""Show me around this alphabet town""
Said, ""Show me around""

[Verse 2]
There's a name you keep repeating
You got nothing better to do
And you're with someone who'll hear you say it and just not mind
Her hand on your arm
Her hand on your arm
She put her hand on your arm
And told you her name, you can't pronounce it

[Chorus]
I'll show you around this alphabet town
I'll show you around this alphabet town

[Verse 3]
I know what you are, I just don't mind
I won't say you're wrong
I know what you want and it's what I want
So let's go out
I'm ready to go out",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-alphabet-town-lyrics
11,Some Song,Grand Mal: Studio Rarities,"Jan. 1, 1995",1995,"[Intro]
Hello, hello, hello
(This is a rock song)
Loud, loud, loud

[Verse 1]
It's a junkie dream, makes you so uptight
Yeah it's halloween tonight and every night
See you scratch your skin
Your sandpaper throat
You're a symphony, man, with one fucking note
Charlie beat you up week after week
And when you grow up you're going to be a freak
Want a violent girl who's not scared of anything

[Chorus]
Help me kill my time
'Cause I'll never be fine
Help me kill my time

[Verse 2]
You went down to look at old Dallas town
Where you must be sick just to hang around
Seen it on TV, how to kill your man
Then like Gacy's scene a canvas in your hand
Better call your mom, she's out looking for you
In the jail and the army and the hospital too
But those people there couldn't do anything
For you",0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-some-song-lyrics
12,Christian Brothers,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
No bad dream fucker's gonna boss me around
Christian Brothers gonna take him down
But it can't help me get over

[Chorus]
Don't be cross, it's sick I want
I've seen the boss blink on and off

[Verse 2]
Fake concern says, ""What's the matter, man?""
And you think I ought to shake your motherfucking hand
Well, I know how much you care

[Chorus]
Don't be cross, this sick I want
I've seen the boss blink on and off
Come here by me, I want you here
Nightmares become me, it's so fucking clear

[Chorus]
Don't be cross, it's sick I want
I've seen the boss blink on and off
Come here by me, I want you here
Nightmares become me, it's so fucking clear
Nightmares become me, it's so fucking clear",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-christian-brothers-lyrics
13,Clementine,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
They're waking you up to close the bar
The street's wet, you can tell by the sound of the cars
The bartender's singing ""Clementine""
While he's turning around the open sign

[Chorus]
""Dreadful sorry, Clementine""

[Bridge]
Though you're still her man
It seems a long time gone
Maybe the whole thing's wrong
What if she thinks so but just didn't say so?

[Verse 2]
You drank yourself into slow-mo
Made an angel in the snow
Anything to pass the time
And keep that song out of your mind

[Chorus]
""(Oh) Oh my darling
(Oh) Oh my darling
Oh my darling, Clementine
Dreadful sorry, Clementine""",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-clementine-lyrics
14,Southern Belle,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
Killing a southern belle is all you know how to do
That and give other people hell
It's what they expect from you, too
But I wouldn't have you how you are

[Verse 2]
I don't want to walk around
I don't even want to breathe
I live in a southern town
Where all you can do is grit your teeth
But I wouldn't have you how you are

[Bridge]
How come you're not ashamed of what you are?
And sorry that you're the one she got?

[Verse 3]
Ain't nobody looking now
Nobody, nothing's said
No one's about to shout
Nobody's seeing red
But I wouldn't have you how you are

[Outro]
You're killing a southern belle
Killing a southern belle
Killing a southern belle",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-southern-belle-lyrics
15,Single File,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
Here in line where stupid shit collides
With dying shooting stars
All we got to show what we really are
Is the same kind of scars
And looking at you all I see is
You're waiting for something

[Chorus]
Single file
You're a murder mile
You idiot kid
Your arm's got a death in it

[Verse 2]
If you're choking up, take this paper cup
But there's a price that you'll pay
For trying hard to become whatever they are
And saying whatever they say
So help yourself to this bitter pill
Or somebody else will

[Chorus]
Single file
You're a murder mile
You idiot kid
Your arm's got a death in it",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://genius.com/Elliott-smith-single-file-lyrics
16,Coming Up Roses,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
I'm a junkyard full of false starts
And I don't need your permission
To bury my love under this bare light bulb

[Pre-Chorus]
The moon is a sickle cell
It'll kill you in time
Your cold white brother will ride in your blood
Like spun glass in sore eyes

[Chorus]
While the moon does its division
You're buried below
And you're coming up roses everywhere you go
Red roses follow

[Verse 2]
The things that you tell yourself
They'll kill you in time
Your cold white brother alive in your blood
Spinning in the night sky

[Chorus]
While the moon does its division
You're buried below
And you're coming up roses everywhere you go
Red roses
So you got in a kind of trouble that nobody knows
It's coming up roses everywhere you go
Red roses",1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,https://genius.com/Elliott-smith-coming-up-roses-lyrics
17,Satellite,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
While the hands are pointing up midnight
You're a question mark coming after people you watched collide

[Chorus]
You can ask what you want to the satellite

[Verse 2]
'Cause the names you drop put ice in my veins
And for all you know, you're the only one who finds it strange

[Chorus]
When they call it a lover's moon, the satellite
'Cause it acts just like lovers do, the satellite

[Outro]
A burned-out world you know
Staying up all night
The satellite",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-satellite-lyrics
19,St. Ides Heaven,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1: Elliott Smith and Rebecca Gates]
Everything is exactly right
When I walk around here drunk every night
With an open container from 7-Eleven
In St. Ides heaven

[Verse 2: Elliott Smith and Rebecca Gates]
I've been out haunting the neighborhood
And everybody can see I'm no good
When I'm walking out between parked cars
With my head full of stars

[Chorus: Elliott Smith and Rebecca Gates]
High on amphetamines
The moon is a light bulb breaking
It'll go around with anyone
But it won't come down for anyone

[Verse 3: Elliott Smith and Rebecca Gates]
You think you know what brings me down
That I want those things you could never allow
You see me smiling, you think it's a frown
Turned upside down

[Verse 4: Elliott Smith and Rebecca Gates]
'Cause everyone is a fucking pro
And they all got answers from trouble they've known
And they all got to say what you should and shouldn't do
Though they don't have a clue",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-st-ides-heaven-lyrics
20,Good to Go,Elliott Smith: Expanded 25th Anniversary Edition,"Jul. 21, 1995",1995,"[Verse 1]
A low riding junkie girl
Rode down south to your little world like a dream

[Pre-Chorus]
You can do it if you want to
You can do it if you want to
You can do it if you want to be like me

[Chorus]
I wouldn't need a hero
If I wasn't such a zero
If I wasn't such a zero
Good to go

[Post-Chorus]
All I ever see around here is things of hers that you left lying around
It's all I ever see around here

[Verse 2]
She kicked New York like a curse
And you traced her footsteps in reverse up to Queens

[Pre-Chorus]
You can do it if you want to
You can do it if you want to
You can do it if you want to be like me",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://genius.com/Elliott-smith-good-to-go-lyrics
